Report Number,Date Reported,Date of Occurrence,Time of Occurrence,City,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Crime Domain,Police Deployed,Case Closed,Date Case Closed,
1,01-01-2020 21:00,01-01-2020 04:00,01-01-2020 16:51,Pune,421,VANDALISM,30,F,Knife,Other Crime,18,No,,
2,03-01-2020 01:00,01-02-2020 00:00,02-01-2020 20:47,Bangalore,527,DRUG OFFENSE,18,F,Knife,Other Crime,1,No,,
3,03-01-2020 07:00,01-01-2020 09:00,01-01-2020 17:50,Chennai,497,PUBLIC INTOXICATION,29,M,Knife,Other Crime,4,No,,
4,03-01-2020 09:00,01-01-2020 23:00,01-01-2020 23:40,Chennai,322,VANDALISM,77,F,Knife,Other Crime,18,No,,
5,03-01-2020 12:00,01-01-2020 21:00,02-01-2020 10:11,Mumbai,374,VANDALISM,64,F,Knife,Other Crime,15,No,,
6,04-01-2020 07:00,01-02-2020 19:00,03-01-2020 08:34,Mumbai,300,SEXUAL ASSAULT,44,M,Knife,Violent Crime,7,No,,
7,04-01-2020 20:00,01-03-2020 19:00,04-01-2020 08:46,Visakhapatnam,420,BURGLARY,22,M,Knife,Other Crime,17,No,,
8,04-01-2020 21:00,01-02-2020 10:00,02-01-2020 22:18,Kanpur,341,VANDALISM,34,F,Knife,Other Crime,14,No,,
9,05-01-2020 02:00,01-04-2020 02:00,05-01-2020 01:45,Ahmedabad,404,CYBERCRIME,70,F,Knife,Other Crime,18,No,,
10,05-01-2020 03:00,01-04-2020 08:00,04-01-2020 23:33,Delhi,197,ASSAULT,61,F,Knife,Violent Crime,10,No,,
11,05-01-2020 18:00,01-03-2020 23:00,04-01-2020 11:34,Nagpur,244,ARSON,53,F,Knife,Fire Accident,1,No,,
12,05-01-2020 18:00,01-03-2020 11:00,04-01-2020 05:33,Thane,352,SHOPLIFTING,53,F,Knife,Other Crime,6,No,,
13,05-01-2020 21:00,01-04-2020 05:00,04-01-2020 17:02,Indore,517,IDENTITY THEFT,58,F,Knife,Violent Crime,10,No,,
14,06-01-2020 17:00,01-04-2020 13:00,05-01-2020 06:42,Mumbai,438,VANDALISM,22,M,Knife,Other Crime,5,No,,
15,06-01-2020 18:00,01-06-2020 14:00,07-01-2020 07:26,Delhi,406,VANDALISM,50,F,Knife,Other Crime,15,No,,
16,06-01-2020 22:00,01-06-2020 13:00,07-01-2020 00:56,Lucknow,465,ILLEGAL POSSESSION,75,F,Knife,Other Crime,8,No,,
17,07-01-2020 04:00,01-06-2020 11:00,07-01-2020 06:55,Lucknow,295,IDENTITY THEFT,39,F,Knife,Violent Crime,8,No,,
18,07-01-2020 16:00,01-07-2020 03:00,07-01-2020 22:27,Bangalore,262,COUNTERFEITING,28,F,Knife,Other Crime,8,No,,
19,08-01-2020 01:00,01-07-2020 08:00,07-01-2020 17:21,Delhi,248,IDENTITY THEFT,23,F,Knife,Violent Crime,16,No,,
20,08-01-2020 13:00,01-06-2020 20:00,07-01-2020 14:13,Delhi,270,DOMESTIC VIOLENCE,73,F,Knife,Violent Crime,14,No,,
21,08-01-2020 19:00,01-08-2020 16:00,08-01-2020 17:27,Mumbai,151,FRAUD,67,F,Knife,Other Crime,19,No,,
22,08-01-2020 19:00,01-06-2020 01:00,06-01-2020 22:59,Delhi,321,KIDNAPPING,22,F,Knife,Other Crime,19,No,,
23,09-01-2020 00:00,01-06-2020 04:00,06-01-2020 19:19,Pune,347,FRAUD,30,M,Knife,Other Crime,14,No,,
24,09-01-2020 03:00,01-07-2020 16:00,08-01-2020 09:21,Meerut,321,COUNTERFEITING,30,F,Knife,Other Crime,13,No,,
25,09-01-2020 04:00,01-08-2020 20:00,09-01-2020 03:24,Hyderabad,415,EXTORTION,24,F,Knife,Other Crime,2,No,,
26,09-01-2020 07:00,01-06-2020 15:00,07-01-2020 02:16,Delhi,278,FRAUD,71,F,Knife,Other Crime,7,No,,
27,09-01-2020 15:00,01-08-2020 22:00,09-01-2020 15:53,Chennai,268,KIDNAPPING,63,F,Knife,Other Crime,9,No,,
28,09-01-2020 16:00,01-07-2020 09:00,07-01-2020 19:49,Chennai,523,KIDNAPPING,39,F,Knife,Other Crime,11,No,,
29,10-01-2020 07:00,01-08-2020 01:00,08-01-2020 05:22,Kalyan,342,TRAFFIC VIOLATION,21,F,Knife,Traffic Fatality,8,No,,
30,10-01-2020 16:00,01-09-2020 23:00,10-01-2020 09:23,Ahmedabad,163,SHOPLIFTING,14,F,Knife,Other Crime,18,No,,
